Nome: ALFREDO CHAVES
Codigo Estacao: A615
Latitude: -20.63638888
Longitude: -40.74194444
Altitude: 14.19
Situacao: Operante
Data Inicial: 2006-11-02
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-06-30;13;30,4;1015,6;20,7;5,1;1,7;
2009-07-31;13;101,8;1015,6;21,7;5,6;1,8;
2009-08-31;10;87,8;1016,2;21,9;8,1;2;
2009-09-30;10;43;1013,1;24,2;7,8;1,9;
2009-10-31;13;268;1010;23,7;7,4;1,7;
2009-11-30;9;49;1008;27,5;8,2;2,2;
2009-12-31;18;48;1008,1;27;5,6;1,8;
2010-01-31;1;38,4;1009,7;29;8,4;2,6;
2010-02-28;6;36,6;1010,1;28,7;8,9;2,5;
2010-03-31;20;431,2;1009;26,5;5,7;1,9;
2010-04-30;16;143,2;1012,2;24,2;5,7;1,7;
2010-05-31;13;66,6;1012,6;22,7;5,3;1,8;
2010-06-30;10;32,6;1017,5;20,3;5,5;2;
2010-07-31;16;90;1018,4;21,4;4,9;1,7;
2010-08-31;7;19,8;1017,6;20,9;6,5;2,2;
2010-09-30;9;29,4;1015;22,8;8,7;2,3;
2010-10-31;11;87,8;1011,2;23,3;9;1,7;
2010-11-30;19;206;1008,8;24,1;6,7;1,6;
2010-12-31;13;215,2;1005,6;26,6;7,8;1,9;
2011-01-31;8;90,4;1007,9;27,3;7,5;2,1;
2011-02-28;5;19,4;1009,3;27,8;7,7;2,3;
2011-03-31;22;442;1009;24,6;4,9;1,6;
2011-04-30;17;181;1012,1;24,4;6,1;1,7;
2011-05-31;10;53,8;1014,2;21,7;5,3;1,8;
2011-06-30;9;35;1015,4;21;5,1;1,7;
2011-07-31;9;81,2;1016,3;20,9;6,3;2,1;
2011-08-31;6;53,2;1015,2;22,4;5,6;2;
2011-09-30;9;53,6;1017,4;21;6,5;2;
2011-10-31;16;250;1011,5;23;8,1;1,8;
2011-11-30;19;195,2;1011,7;22,5;7,1;1,7;
2011-12-31;22;332,8;1009,1;24,6;9,4;1,6;
2012-01-31;14;217,8;1010,3;25,4;7,2;1,8;
2012-02-29;8;47,6;1010,8;26,9;8,7;2,4;
2012-03-31;15;112,2;1011;26;7,9;1,9;
2012-04-30;13;60;1011,2;24,9;5,9;1,8;
2012-05-31;19;380,2;1015,3;21,7;6,5;1,7;
2012-06-30;10;195;1015,3;22,5;6,2;1,8;
2012-07-31;6;49,8;1016,3;21,9;7;2,2;
2012-08-31;26;238,2;1020,4;20,6;6,2;1,7;
2012-09-30;7;59,4;1016;22,6;8,3;2,1;
2012-10-31;6;23,2;1012,2;24,6;8,6;2,3;
2012-11-30;24;392,4;1009,8;23,6;5,7;1,6;
2012-12-31;8;205,8;1008;28;7,2;2;
2013-01-31;13;239,2;1009,8;26,6;8,2;2,1;
2013-02-28;5;12,2;1010;27,5;7,1;2,1;
2013-03-31;16;423;1010,6;25,8;6,7;1,7;
2013-04-30;16;212,8;1013,1;23,4;5,3;1,7;
2013-05-31;9;84,6;1013,9;22,4;6,3;1,7;
2013-06-30;8;88,6;1015,2;22,4;4,7;1,7;
2013-07-31;12;74,2;1017,1;21,3;6,2;1,7;
2013-08-31;11;86,6;1016,5;21,8;7,2;2;
2013-09-30;11;39,4;1015,3;22,7;8,6;2;
2013-10-31;16;78,2;1013,4;23,3;8,8;1,9;
2013-11-30;21;220,6;1011;24,3;7,6;1,9;
2013-12-31;22;475,2;1007,3;25,3;5,7;1,4;
2014-01-31;7;52;1011,2;27,2;6,7;2,1;
2014-02-28;5;99,2;1011,2;27;7,6;2,4;
2014-03-31;11;173,4;1011,3;26,3;7,3;2;
2014-04-30;8;null;null;25,4;5,3;null;
2014-05-31;3;null;null;null;5,6;null;
2014-06-30;12;53;1016,1;22,2;6,2;1,9;
2014-07-31;13;62,4;1019,2;20,8;5,5;1,6;
2014-08-31;10;108,4;1017,3;21,4;5,8;2;
2014-09-30;5;65,8;1014,9;23,2;7;2,2;
2014-10-31;11;64,4;1014,2;23,6;8,2;2,1;
2014-11-30;11;184,6;1010,6;25;9,7;2,2;
2014-12-31;10;104,6;1010,2;26,8;7,9;2,2;
2015-01-31;1;1;1010,6;29,3;7,8;2,7;
2015-02-28;10;58;1010,1;28,1;7,8;2,4;
2015-03-31;9;107,8;1010,4;26,8;5,7;2;
2015-04-30;12;98,6;1012,1;24,4;5,7;1,8;
2015-05-31;19;172,2;1015,4;22;5,6;1,7;
2015-06-30;17;273,8;1018;21,8;6,4;1,9;
2015-07-31;10;83;1017,1;21,9;6,6;1,8;
2015-08-31;10;27;1017,2;22;5,6;1,9;
2015-09-30;11;86,6;1012,4;24,5;6,3;1,9;
2015-10-31;12;112,2;1012,9;25,2;7,7;2,1;
2015-11-30;13;80,6;1008,7;26,6;8,5;1,7;
2015-12-31;12;143,4;1010,5;27,9;8,9;2,2;
2016-01-31;17;211,6;1009;26,9;8,1;1,9;
2016-02-29;4;23,8;1010,2;28,8;7;2,2;
2016-03-31;12;204,8;1012;27,1;8,5;1,9;
2016-04-30;6;37,4;1012;26,5;6;2;
2016-05-31;7;21,6;1015,1;23,2;6;1,8;
2016-06-30;18;111,8;1017,7;20,6;4,9;1,6;
2016-07-31;9;22,4;1017,1;21,5;6,2;1,9;
2016-08-31;9;50,4;1015,9;22,2;7,1;2,1;
2016-09-30;11;44,4;1014,9;23,5;8,6;2,1;
2016-10-31;17;196,2;1012,5;23,5;7,4;1,8;
2016-11-30;12;167,2;1010,7;24,4;8;1,9;
2016-12-31;18;300,6;1009,8;25,9;6,6;1,8;
2017-01-31;5;34,6;1010,1;28,5;8,9;2,6;
2017-02-28;11;76;1011;26,7;8,3;1,9;
2017-03-31;11;107,4;1010,8;26,3;5,8;2;
2017-04-30;7;null;null;24,8;5,5;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;15;null;1021,9;20;5,1;1,7;
2017-08-31;9;28,4;1017;20,7;5,4;1,9;
2017-09-30;7;15,6;1018,6;22;7,7;2,4;
2017-10-31;12;96,8;1012,1;25,3;8,9;2,3;
2017-11-30;18;340;1010,4;23,9;7,7;1,7;
2017-12-31;15;250,8;1009;25,5;7,7;1,7;
2018-01-31;10;147,6;1009,3;27,6;7,8;2,1;
2018-02-28;17;246,6;1009,5;25,7;6,6;1,6;
2018-03-31;17;332,2;1009,2;26,1;7,5;1,7;
2018-04-30;20;350,8;1014,1;23,7;5;1,6;
2018-05-31;16;237;1015,7;22,2;5,2;1,7;
2018-06-30;13;96,8;1016,6;22,1;4,9;1,7;
2018-07-31;11;11,4;1016,7;21,8;5,6;2,1;
2018-08-31;19;140,8;1017,1;21,3;6,6;1,6;
2018-09-30;13;45,8;1013,1;23,2;7,4;1,8;
2018-10-31;18;88,2;1011,5;24;7,8;1,7;
2018-11-30;17;317,6;1011,7;24,6;7,9;1,7;
2018-12-31;16;239;1010,2;25,6;7,3;1,8;
2019-01-31;0;0;1011,4;28,9;7,8;2,4;
2019-02-28;14;139;1009;27,7;8,1;2;
2019-03-31;14;118;1011;27;5,9;1,9;
2019-04-30;13;88;1010,9;26;5,5;1,7;
2019-05-31;13;282,2;1012,5;24,3;4,5;1,7;
2019-06-30;8;35,8;1017,4;22,7;5,6;1,8;
2019-07-31;8;11,4;1017,3;21,1;5,6;2,1;
2019-08-31;16;47,8;1019,4;21,2;5,7;1,8;
2019-09-30;10;98;1014,9;23,5;8,5;1,9;
2019-10-31;10;58,8;1012,2;24,8;7,9;2;
2019-11-30;21;373,8;1010,3;24,5;5,8;1,6;
2019-12-31;11;130;1010,2;26,1;8,6;1,9;

